custID,contact,duration,response
C00002,unknown,151,no
C00004,unknown,92,no
C00005,unknown,198,no
C00006,unknown,139,no
C00007,unknown,217,no
C00009,unknown,50,no
C00010,unknown,55,no
C00012,unknown,137,no
C00013,unknown,517,no
C00014,unknown,71,no
C00015,unknown,174,no
C00017,unknown,98,no
C00018,unknown,38,no
C00019,unknown,219,no
C00020,unknown,54,no
C00021,unknown,262,no
C00022,unknown,164,no
C00023,unknown,160,no
C00025,unknown,181,no
C00026,unknown,172,no
C00028,unknown,127,no
C00029,unknown,255,no
C00030,unknown,348,no
C00031,unknown,225,no
C00032,unknown,230,no
C00033,unknown,208,no
C00035,unknown,336,no
C00036,unknown,242,no
C00037,unknown,365,no
C00038,unknown,1666,no
C00039,unknown,577,no
C00041,unknown,160,no
C00042,unknown,180,no
C00043,unknown,22,no
C00044,unknown,1492,no
C00045,unknown,616,no
C00046,unknown,242,no
C00047,unknown,355,no
C00049,unknown,160,no
C00050,unknown,363,no
C00051,unknown,266,no
C00052,unknown,253,no
C00053,unknown,179,no
C00054,unknown,787,no
C00055,unknown,145,no
C00056,unknown,174,no
C00057,unknown,104,no
C00058,unknown,13,no
C00059,unknown,185,no
C00060,unknown,1778,no
C00061,unknown,138,no
C00064,unknown,391,no
C00065,unknown,357,no
C00066,unknown,91,no
C00067,unknown,528,no
C00068,unknown,273,no
C00069,unknown,158,no
C00070,unknown,177,no
C00072,unknown,172,no
C00073,unknown,154,no
C00074,unknown,291,no
C00076,unknown,176,no
C00079,unknown,272,no
C00081,unknown,193,no
C00083,unknown,20,no
C00084,unknown,1042,yes
C00085,unknown,246,no
C00086,unknown,529,no
C00087,unknown,1467,yes
C00089,unknown,188,no
C00090,unknown,180,no
C00091,unknown,48,no
C00092,unknown,213,no
C00093,unknown,583,no
C00098,unknown,101,no
C00100,unknown,197,no
C00101,unknown,257,no
C00102,unknown,124,no
C00103,unknown,229,no
C00104,unknown,55,no
C00105,unknown,400,no
C00106,unknown,197,no
C00107,unknown,190,no
C00110,unknown,849,no
C00112,unknown,144,no
C00113,unknown,212,no
C00114,unknown,286,no
C00115,unknown,107,no
C00116,unknown,247,no
C00118,unknown,364,no
C00119,unknown,178,no
C00120,unknown,98,no
C00121,unknown,439,no
C00124,unknown,127,no
C00125,unknown,175,no
C00127,unknown,61,no
C00128,unknown,78,no
C00129,unknown,143,no
C00130,unknown,579,yes
C00131,unknown,677,no
C00132,unknown,345,no
C00134,unknown,100,no
C00135,unknown,125,no
C00137,unknown,136,no
C00138,unknown,73,no
C00141,unknown,163,no
C00142,unknown,301,no
C00143,unknown,46,no
C00144,unknown,204,no
C00147,unknown,157,no
C00148,unknown,243,no
C00149,unknown,186,no
C00150,unknown,579,no
C00151,unknown,163,no
C00152,unknown,610,no
C00153,unknown,2033,no
C00154,unknown,85,no
C00155,unknown,114,no
C00157,unknown,57,no
C00158,unknown,238,no
C00159,unknown,93,no
C00160,unknown,128,no
C00161,unknown,107,no
C00162,unknown,181,no
C00163,unknown,303,no
C00164,unknown,558,no
C00165,unknown,270,no
C00166,unknown,228,no
C00167,unknown,99,no
C00169,unknown,673,yes
C00170,unknown,233,no
C00171,unknown,1056,no
C00172,unknown,250,no
C00173,unknown,252,no
C00174,unknown,138,no
C00175,unknown,130,no
C00176,unknown,412,no
C00177,unknown,179,no
C00178,unknown,19,no
C00179,unknown,458,no
C00180,unknown,717,no
C00181,unknown,313,no
C00183,unknown,1077,no
C00185,unknown,146,no
C00186,unknown,167,no
C00187,unknown,315,no
C00188,unknown,140,no
C00189,unknown,346,no
C00190,unknown,562,no
C00191,unknown,172,no
C00192,unknown,217,no
C00193,unknown,142,no
C00194,unknown,67,no
C00195,unknown,291,no
C00197,unknown,248,no
C00198,unknown,98,no
C00199,unknown,256,no
C00200,unknown,82,no
C00201,unknown,577,no
C00203,unknown,477,no
