custID,age,region,job,marital,education,default,balance,housing,loan
C00002,44,London,technician,single,secondary,no,34,yes,no
C00004,47,London,others,married,,no,1751,yes,no
C00005,33,South East,others,single,,no,1,no,no
C00006,35,London,management,married,tertiary,no,269,yes,no
C00007,28,Yorkshire and the Humber,management,single,tertiary,no,520,yes,yes
C00009,58,South East,retired,married,primary,no,141,yes,no
C00010,43,West Midlands,technician,single,secondary,no,690,yes,no
C00012,29,West Midlands,admin,single,secondary,no,453,yes,no
C00013,53,South East,technician,married,secondary,no,7,yes,no
C00014,58,South West,technician,married,,no,83,yes,no
C00015,57,North West,services,married,secondary,no,188,yes,no
C00017,45,North West,admin,single,,no,15,yes,no
C00018,57,South East,others,married,primary,no,60,yes,no
C00019,60,North West,retired,married,primary,no,70,yes,no
C00020,33,North West,services,married,secondary,no,0,yes,no
C00021,28,West Midlands,others,married,secondary,no,841,yes,yes
C00022,56,South East,management,married,tertiary,no,906,yes,no
C00023,32,South East,others,single,primary,no,27,yes,yes
C00025,40,South East,retired,married,primary,no,0,yes,yes
C00026,44,London,admin,married,secondary,no,-433,yes,no
C00028,52,South East,entrepreneur,married,secondary,no,131,yes,yes
C00029,46,North West,management,single,secondary,no,-286,yes,no
C00030,36,South East,technician,single,secondary,no,308,yes,yes
C00031,57,South East,technician,married,secondary,no,976,no,yes
C00032,49,North West,management,married,tertiary,no,440,yes,no
C00033,60,South East,admin,married,secondary,no,45,yes,yes
C00035,51,North West,management,married,tertiary,no,12366,yes,no
C00036,57,South East,technician,others,secondary,no,73,yes,no
C00037,25,Yorkshire and the Humber,others,married,secondary,no,-8,yes,no
C00038,53,London,technician,married,secondary,no,-3,no,no
C00039,36,South East,admin,others,secondary,no,588,yes,no
C00041,44,South East,services,others,secondary,no,3007,yes,no
C00042,50,South West,management,married,secondary,no,57,yes,no
C00043,60,West Midlands,others,married,,no,121,yes,no
C00044,54,West Midlands,retired,married,secondary,no,615,yes,no
C00045,58,North West,retired,married,,no,112,yes,no
C00046,36,East of England,admin,single,primary,no,-199,yes,no
C00047,58,London,self-employed,married,tertiary,no,-423,yes,no
C00049,55,North West,technician,others,secondary,no,0,no,no
C00050,29,South East,management,single,tertiary,no,0,yes,no
C00051,54,London,others,married,secondary,no,1501,yes,no
C00052,48,Yorkshire and the Humber,management,others,tertiary,no,-284,yes,no
C00053,32,West Midlands,management,married,tertiary,no,0,yes,no
C00054,42,South East,admin,single,secondary,no,-88,yes,no
C00055,24,London,technician,single,secondary,no,-120,yes,yes
C00056,38,South East,entrepreneur,single,tertiary,no,283,no,yes
C00057,38,East of England,management,single,tertiary,no,493,yes,no
C00058,47,South East,others,married,,no,356,yes,no
C00059,40,South East,others,single,,no,28,yes,no
C00060,46,South East,services,married,primary,no,208,yes,no
C00061,32,West Midlands,admin,married,tertiary,no,0,yes,no
C00064,33,London,services,married,secondary,no,919,yes,no
C00065,49,East of England,others,married,,no,179,yes,no
C00066,51,South East,management,married,tertiary,no,7593,yes,no
C00067,60,South East,retired,married,tertiary,no,116,no,no
C00068,59,London,management,others,tertiary,no,69,yes,no
C00069,55,London,technician,married,secondary,no,1401,yes,no
C00070,35,North West,others,single,secondary,no,14213,yes,yes
C00072,31,London,services,married,secondary,no,29,yes,yes
C00073,54,London,management,married,secondary,no,328,yes,yes
C00074,55,South East,others,married,primary,no,27,yes,no
C00076,53,London,technician,married,secondary,no,447,yes,no
C00079,49,North West,services,others,secondary,no,0,yes,yes
C00081,45,Yorkshire and the Humber,admin,single,secondary,no,240,yes,no
C00083,42,South East,technician,single,secondary,no,802,yes,no
C00084,59,South East,admin,married,secondary,no,2724,yes,no
C00085,46,London,self-employed,married,tertiary,no,159,yes,yes
C00086,51,South East,others,married,primary,no,201,yes,no
C00087,56,London,admin,married,secondary,no,52,no,no
C00089,46,South East,management,others,secondary,no,19,yes,yes
C00090,57,North West,retired,married,secondary,no,565,yes,no
C00091,42,South East,management,single,secondary,no,58,no,no
C00092,30,South East,technician,married,secondary,no,177,yes,yes
C00093,60,East of England,admin,married,secondary,no,337,yes,no
C00098,60,South East,retired,married,tertiary,no,94,yes,no
C00100,46,North West,management,married,tertiary,no,266,yes,no
C00101,44,London,others,married,secondary,no,-784,yes,no
C00102,53,South East,others,married,primary,no,105,no,no
C00103,52,West Midlands,others,married,primary,no,149,yes,no
C00104,59,North West,others,married,primary,no,208,yes,no
C00105,27,South East,technician,single,tertiary,no,0,yes,no
C00106,44,North West,others,married,secondary,no,63,yes,no
C00107,47,London,technician,married,tertiary,no,176,yes,no
C00110,45,South East,management,married,tertiary,no,608,yes,no
C00112,46,North West,technician,others,secondary,no,92,no,no
C00113,56,South East,self-employed,married,primary,no,-40,yes,yes
C00114,36,North West,others,married,primary,no,521,yes,no
C00115,59,East of England,retired,others,primary,no,94,yes,no
C00116,44,South East,others,married,secondary,no,167,yes,no
C00118,33,South East,management,single,tertiary,no,-78,yes,no
C00119,59,South West,management,others,tertiary,no,305,no,no
C00120,57,West Midlands,technician,married,primary,no,0,no,no
C00121,56,South East,technician,others,,no,65,yes,no
C00124,43,South East,services,married,secondary,no,48,yes,yes
C00125,52,East of England,technician,married,tertiary,no,8,no,yes
C00127,29,East of England,admin,single,secondary,no,951,yes,yes
C00128,34,London,services,married,secondary,no,-19,yes,yes
C00129,31,London,others,married,secondary,no,0,yes,no
C00130,55,South East,services,married,secondary,no,2879,yes,no
C00131,55,London,management,married,,no,1378,no,no
C00132,32,West Midlands,admin,single,secondary,no,252,yes,no
C00134,55,London,admin,single,secondary,no,933,yes,yes
C00135,28,West Midlands, ,single,tertiary,no,0,yes,no
C00137,32,West Midlands,technician,single,secondary,no,0,yes,no
C00138,43,London,services,single,,no,0,no,no
C00141,53,London,domestic worker,others,primary,no,1101,yes,no
C00142,34,London,self-employed,single,secondary,no,3,yes,no
C00143,57,London, ,married,tertiary,no,49,no,no
C00144,37,London,others,married,secondary,no,43,yes,no
C00147,56,South East,others,others,primary,no,9,yes,no
C00148,48,London, ,married,secondary,no,341,yes,no
C00149,43,East of England,services,married,primary,no,3,yes,no
C00150,54,West Midlands,others,married,primary,no,405,yes,no
C00151,51,East of England,others,married,,no,-22,yes,no
C00152,26,East of England,student,single,secondary,no,0,yes,no
C00153,40,London,management,married,tertiary,no,-5,yes,no
C00154,39, ,management,married,secondary,no,21,yes,no
C00155,50,South East,technician,married,primary,no,162,no,no
C00157,51,North West,others,married,,no,2190,yes,no
C00158,60,London,retired,others,secondary,no,251,yes,no
C00159,52,North West,others,married,secondary,no,909,yes,no
C00160,48,South East,others,married,secondary,no,1051,yes,no
C00161,48,North West,services,married,,no,1983,yes,no
C00162,39,East of England,technician,single,tertiary,no,55,yes,no
C00163,47,North West,services,single,secondary,no,205,yes,no
C00164,40,West Midlands,others,married,secondary,no,1424,yes,no
C00165,45,West Midlands,technician,married,secondary,no,100,yes,no
C00166,26,South West,admin,single,secondary,no,95,yes,no
C00167,52,East of England,management,married,tertiary,no,315,yes,no
C00169,54,North West,admin,married,tertiary,no,214,no,no
C00170,50,London,others,married,primary,no,0,no,no
C00171,35,East of England,others,married,secondary,no,0,yes,no
C00172,44,West Midlands,services,married,secondary,no,1578,yes,yes
C00173,53,East of England,entrepreneur,married,,no,22,yes,no
C00174,35,East of England,retired,single,primary,no,505,no,no
C00175,60,London,admin,others,secondary,no,107,yes,no
C00176,53,London,admin,others,secondary,no,1338,yes,no
C00177,48,North West, ,married,secondary,no,48,yes,no
C00178,34,London,technician,married,secondary,no,59,yes,no
C00179,54,East Midlands,services,married,secondary,no,249,yes,no
C00180,51,West Midlands,management,married,secondary,no,1350,yes,no
C00181,31,North West,services,married,tertiary,no,43,yes,no
C00183,35,East of England,services,married,secondary,no,69,yes,no
C00185,36,South East,admin,married,tertiary,no,245,yes,no
C00186,58, ,retired,married,primary,no,273,yes,no
C00187,40, ,services,others,,no,5098,yes,no
C00188,54,North West,management,married,secondary,no,4744,no,no
C00189,34,South East,others,single,secondary,no,62,yes,yes
C00190,31,North West,management,single,tertiary,no,0,yes,no
C00191,51,London,retired,married,secondary,no,2473,yes,no
C00192,33,South East,management,married,tertiary,no,438,yes,no
C00193,55,South East,management,married,tertiary,no,85,yes,no
